//Name,Type,AP,minRange,maxRange,heat,Cooldown,reload,clip,capacity,AudioNumber
Flamethrower,Explosive,750,0,10,9,40,120,7,14,1
Railgun,Energy,750,20,40,5,60,180,5,10,8
Gauss Cannon,Energy,750,20,30,5,50,150,5,10,2
Sniper Rifle,Ballistic,500,20,30,5,50,150,9,18,10
Javelin,Explosive,1000,20,30,9,60,180,7,14,4
Peace Maker,Ballistic,500,10,20,7,60,180,7,14,7
Assault Rifle,Ballistic,500,10,20,7,50,150,9,18,0
Minigun,Ballistic,750,0,10,7,50,150,9,18,6
RPG,Explosive,1000,0,10,9,50,150,5,10,9
Ion Cannon,Energy,750,10,20,9,40,120,7,14,3
Laser Sword,Energy,1000,0,10,7,60,180,7,14,5
